
TIME: 1477679428684977920.000000

A1100117 BCID: 279
0 4
1 21
6 1
2 6
5 2
3 22
4 22
4 22
TIME: 1477679428685032960.000000

A1100118 BCID: 280
0 4
1 21
6 1
6 1
5 2
3 22
3 23
4 22
TIME: 1477679430724715008.000000

A17D02BD BCID: 701
0 4
6 1
6 1
2 6
0 0
0 0
0 0
0 0
TIME: 1477679430724768000.000000

A16F02BE BCID: 702
0 4
1 21
6 1
6 1
5 2
3 22
3 23
4 22
TIME: 1477679430724820992.000000

A1300529 BCID: 1321
0 4
0 4
0 4
0 4
0 0
0 0
0 0
4 22
TIME: 1477679432704796160.000000

A16F052A BCID: 1322
0 4
1 21
6 1
2 6
5 2
0 0
0 0
5 2
TIME: 1477679432704849920.000000

A101052B BCID: 1323
0 4
1 21
0 4
1 21
5 2
3 22
3 23
4 22
TIME: 1477679434189014784.000000

A1780795 BCID: 1941
0 4
4 24
0 4
4 24
0 0
0 0
0 0
0 0
TIME: 1477679434668001792.000000

A14F0796 BCID: 1942
0 4
2 6
6 1
2 6
5 2
3 22
3 23
4 22
TIME: 1477679434668057088.000000

A110025C BCID: 604
0 4
1 21
6 1
2 6
0 0
0 0
3 23
4 22
TIME: 1477679436685065984.000000

A13F0A02 BCID: 2562
0 4
0 4
0 4
2 6
5 2
3 22
3 23
4 22
TIME: 1477679436685128960.000000

A1730A03 BCID: 2563
0 4
1 21
6 1
2 6
0 0
3 22
3 23
4 22
TIME: 1477679436685178880.000000

A11F0C6E BCID: 3182
0 4
1 21
0 4
1 21
0 0
0 0
0 0
0 0
TIME: 1477679438610696192.000000

A1770C6F BCID: 3183
0 4
4 24
0 4
4 24
0 0
0 0
0 0
0 0
TIME: 1477679438610749952.000000

A1400C70 BCID: 3184
0 4
4 24
0 4
4 24
0 0
0 0
0 0
0 0
TIME: 1477679438685031936.000000

A1100404 BCID: 1028
0 4
2 6
0 4
2 6
0 0
0 0
0 0
0 0
TIME: 1477679438685095936.000000

A1100405 BCID: 1029
0 4
1 21
6 1
2 6
5 2
3 22
3 23
4 22
TIME: 1477679438685147904.000000

A1100EDA BCID: 3802
0 4
1 21
0 4
1 21
5 2
3 22
3 23
4 22
TIME: 1477679440724596992.000000

A17F0EDB BCID: 3803
0 4
2 6
0 4
2 6
5 2
3 22
3 23
4 22
TIME: 1477679440724651008.000000

A14F0EDC BCID: 3804
0 4
1 21
6 1
6 1
0 0
0 0
3 23
4 22
TIME: 1477679440834161152.000000

A11F0148 BCID: 328
0 4
0 4
4 24
4 24
0 0
0 0
0 0
0 0
TIME: 1477679440834213888.000000
